"label","translation","comment"
"% of the total","% du total","Automacally translated"
"% of the total, i.e.","% du total, soit","Automacally translated"
"A shareable link, in that case first sheet will be read","Un lien partageable, dans ce cas la première feuille sera lue",""
"Add a label to data","Ajouter un libellé aux données",""
"Add a row","Ajouter",""
"Apply changes","Appliquer les changements",""
"Browse...","Parcourir...",""
"Cancel","Annuler",""
"Choose a name for the column to be created or modified,","Choisissez un nom pour la colonne à créer ou à modifier,","Automacally translated"
"Choose a number of rows :","Choisissez un nombre de lignes :","Automacally translated"
"Choose a percentage :","Choisissez un pourcentage :","Automacally translated"
"Click on a column name to add it to the expression:","Cliquez sur un nom de colonne pour l'ajouter à l'expression :","Automacally translated"
"Click to delete","Cliquez pour supprimer",""
"Click to edit","Cliquez pour modifier",""
"Close","Fermer",""
"Close intervals on the right","Intervalles rapprochés à droite","Automacally translated"
"Column added!","Colonne ajoutée !","Automacally translated"
"Convert Numeric to Factor","Convertir un numérique en facteur","Automacally translated"
"Copy & paste data","Copier / coller des données",""
"Copy / Paste","Copier / Coller",""
"Count","Compter","Automacally translated"
"Create a new column","Créer une nouvelle colonne","Automacally translated"
"Create a new variable otherwise replaces the one selected","Créer une nouvelle variable sinon remplace celle sélectionnée","Automacally translated"
"Create column","Créer une colonne","Automacally translated"
"Create factor variable","Créer une variable de facteur","Automacally translated"
"Data has %s observations and %s variables.","Les données ont %s observations et %s variables.",""
"Data ready to be imported!","Données prêtes à être importées",""
"Data successfully imported!","Données importées avec succès",""
"Data successfully updated!","Données mises à jour avec succès !",""
"Data wasn't deleted","Les données n'ont pas été supprimées","Automacally translated"
"Data wasn't updated","Les données n'ont pas été mises à jour","Automacally translated"
"Dataset validation:","Validation de l'ensemble de données :","Automacally translated"
"Date format:","Format des dates :",""
"Date to use as origin to convert date/datetime:","Date à utiliser comme origine pour convertir des dates au format numérique :",""
"Decimal separator:","Séparateur de décimal :",""
"Delete","Effacer",""
"Do you want to delete the selected row ?","Voulez-vous supprimer la ligne sélectionnée ?",""
"Encoding:","Encodage :",""
"Enter URL to data:","Entrez l'URL des données :","Automacally translated"
"Enter a shareable link to a GoogleSheet:","Entrez un lien partageable vers une GoogleSheet :",""
"Enter an expression to define new column:","Entrez une expression pour définir une nouvelle colonne :","Automacally translated"
"Environment","Environnement",""
"Error","Erreur",""
"External file","Fichier",""
"Factor variable to reorder:","Variable de facteur à réorganiser :","Automacally translated"
"Failed","Echec",""
"First five rows are shown below:","Les cinq premières lignes sont affichées ci-dessous :",""
"Googlesheets","Googlesheets",""
"Group calculation by:","Calcul de groupe par :","Automacally translated"
"Help","Aide",""
"How to import data?","Comment importer des données ?",""
"Import","Import",""
"Import Google Spreadsheet","Importer une GoogleSheet",""
"Import Url","URL d'importation","Automacally translated"
"Import a dataset from an environment","Importer un jeu de données depuis l'environnement global",""
"Import a file","Import d'un fichier",""
"Import data","Importer les données",""
"Imported data","Données importées","Automacally translated"
"Include lowest value","Inclure la valeur la plus basse","Automacally translated"
"Information","Informations",""
"Item has been modified","L'élément a été modifié",""
"Levels","Les niveaux","Automacally translated"
"List of data.frame...","Liste des tableau de données",""
"Max:","Maximale :","Automacally translated"
"Mean:","Signifier:","Automacally translated"
"Method:","Méthode:","Automacally translated"
"Min:","Min :","Automacally translated"
"Missing values characters:","Caractères de valeurs manquants :","Automacally translated"
"Missing:","Manquant:","Automacally translated"
"Most Common:","Le plus commun:","Automacally translated"
"New column name cannot be empty","Le nom de la nouvelle colonne ne peut pas être vide","Automacally translated"
"New column name:","Nouveau nom de colonne :","Automacally translated"
"No","Non",""
"No data selected!","Pas de données sélectionnées",""
"No data to display.","Pas de données à afficher.",""
"No data.frame here...","Pas de données ici...",""
"No file selected","Pas de fichier sélectionné",""
"No file selected:","Aucun fichier sélectionné",""
"Not a data.frame","Pas un data.frame","Automacally translated"
"Nothing pasted yet!","Rien n'a encore été collé !",""
"Number of breaks:","Nombre de pauses :","Automacally translated"
"Number of rows:","Nombre de lignes :",""
"OK","OK",""
"Ooops","Ooops",""
"Paste data here:","Collez vos données ici :",""
"Please copy and paste some data in the dialog box above.","Veuillez copier et coller certaines données dans la boîte de dialogue ci-dessus.",""
"Please fill in the required fields","Merci de remplir les champs obligatoires",""
"Please paste a valid GoogleSheet link in the dialog box above.","Veuillez coller un lien GoogleSheet valide dans la boîte de dialogue ci-dessus.",""
"Please paste a valid link in the dialog box above.","Veuillez coller un lien valide dans la boîte de dialogue ci-dessus.","Automacally translated"
"Registered","Enregistré",""
"Required field","Champs requis",""
"Row has been saved","La ligne a été enregistrée",""
"Row was not deleted","La ligne n'a pas été supprimée",""
"Rows to skip before reading data:","Lignes à ignorer avant de lire les données :","Automacally translated"
"Sample data by :","Echantillonner les données selon :",""
"Save","Enregistrer",""
"Select","Sélectionner",""
"Select a data.frame:","Sélectionner un data.frame :",""
"Select an environment in which to search:","Sélectionner un environnement dans lequel rechercher :",""
"Select environment","Sélectionner un environnement",""
"Select sheet to import:","Sélectionner la feuille à importer :",""
"Some operations are not allowed","Certaines opérations ne sont pas autorisées","Automacally translated"
"Something went wrong...","Un problème est survenu...",""
"Sort count","Nombre de tris","Automacally translated"
"The URL that appear in your browser, in that case the current sheet will be read","L'URL qui apparaît dans votre navigateur, dans ce cas la feuille active sera lue",""
"The row has been deleted","La ligne a été supprimée",""
"The row wasn't added to the data","La ligne n'a pas été ajoutée aux données","Automacally translated"
"URL","URL",""
"Unable to add the row, contact the platform administrator","Impossible d'ajouter la ligne, contactez l'administrateur de la plateforme",""
"Unable to delete the row, contact platform administrator","Impossible de supprimer la ligne, contactez l'administrateur de la plateforme",""
"Unable to modify the item, contact the platform administrator","Impossible de modifier l'élément, contactez l'administrateur de la plateforme",""
"Unique values:","Valeurs uniques :","Automacally translated"
"Unique:","Unique:","Automacally translated"
"Update","Modifier",""
"Update & select variables","Modifier et sélectionner des variables",""
"Update factor variable","Variable de facteur de mise à jour","Automacally translated"
"Update levels of a factor","Mettre à jour les niveaux d'un facteur","Automacally translated"
"Update row","Mettre à jour la ligne",""
"Upload a file:","Charger un fichier :",""
"Use a data.frame from your environment or from the environment of a package.","Utiliser un tableau de données de votre environnement ou de celui d'un paquet.",""
"Valid number of columns","Nombre de colonnes valide","Automacally translated"
"Valid number of rows","Nombre de lignes valide","Automacally translated"
"Validate","Validation",""
"Validation:","Validation :",""
"Variable to cut:","Variable à couper :","Automacally translated"
"View","Affichage",""
"Warning","Avertissement","Automacally translated"
"Yes","Oui",""
"You can either use:","Vous pouvez utiliser au choix :",""
"You can import %s files","Vous pouvez importer des fichers %s",""
"You can import from flat table format supported by","Vous pouvez importer à partir du format de tableau plat pris en charge par","Automacally translated"
"click to see data","cliquez pour afficher les données",""
"data has %s obs. of %s variables.","les données ont %s observations et %s colonnes.",""
"if several use a comma ',' to separate them","si plusieurs utilisent une virgule ',' pour les séparer","Automacally translated"
"lines, i.e.","lignes, c'est-à-dire","Automacally translated"
"number of rows","Nombre de lignes",""
"proportion of rows","Proportion de lignes",""
"rows","lignes","Automacally translated"
"then enter an expression before clicking on the button above to validate or on ","puis saisissez une expression avant de cliquer sur le bouton ci-dessus pour valider ou sur","Automacally translated"
"to delete it.","pour le supprimer.","Automacally translated"
"Sort by count","Trier par nombre","Automacally translated"
"Sort by levels","Trier par niveaux","Automacally translated"
