label,translation,comment
"Import a dataset from an environment","从环境中导入数据"
"Select a data.frame:","选择数据文件:"
"List of data.frame...","所有数据文件"
"Select an environment in which to search:","选择搜索环境:"
"Select environment","选择环境"
"No data selected!","未选择数据！"
"Use a data.frame from your environment or from the environment of a package.","使用工作环境中或R包中数据集."
"No data.frame here...","未检测到数据集..."
"Ooops","啊"
"Something went wrong...","出错了..."
"Data successfully imported!","数据导入成功！"
"Data ready to be imported!","数据等待导入！"
"data has %s obs. of %s variables.","数据有 %s 行 %s 列."
"click to see data","数据预览"
"Import data","导入数据"
"Import a file","导入文件"
"Upload a file:","上传文件:"
"Browse...","浏览..."
"No file selected","尚未选择文件"
"Number of rows to skip before reading data:","去除列数:"
"Decimal separator:",小数点:"
"Encoding:","文件编码:"
"Select sheet to import:","选择工作簿:"
"No file selected:","尚未选择文件"
"You can import %s files","你可以上传 %s 个文件"
"First five rows are shown below:","如下是前5行数据:"
"Copy & paste data","复制粘贴数据"
"Paste data here:","粘贴位置:"
"Nothing pasted yet!","尚未粘贴任何数据!"
"Please copy and paste some data in the dialog box above.","请在上面的对话框中复制粘贴数据."
"Import Google Spreadsheet","导入Google数据文件"
"You can either use:","你还可以使用:"
"A shareable link, in that case first sheet will be read","文件共享链接，我们将导入首个工作簿的数据"
"The URL that appear in your browser, in that case the current sheet will be read","浏览器复制链接，我们将导入当前工作簿的数据"
"Enter a shareable link to a GoogleSheet:","输入GoogleSheet的共享链接:"
"Please paste a valid GoogleSheet link in the dialog box above.","链接无效，请核对链接."
"Help","帮助"
"Environment","环境"
"External file","外部文件"
"Copy / Paste","复制粘贴"
"Googlesheets","Googlesheets"
"How to import data?","如何导入数据？"
"Import","导入"
"View","预览"
"Update","更新"
"Validate","验证"
"Update & select variables","选择并更新数据"
"Date format:","日期格式:"
"Date to use as origin to convert date/datetime:","日期转换的起始时间:"
"Select, rename and convert variables in table above, then apply changes by clicking button below.","下表可以选择，重命名和转换，然后再点击以应用更改."
"Apply changes","应用更改"
"Data has %s observations and %s variables.","数据有 %s 行 %s 列."
"Data successfully updated!","数据上传成功!"
"Validation:","验证:"
"OK","OK"
"Failed","失败"
"Error","错误"
"Number of rows:","行数:"
"No data to display.","无数据."
"Close","取消"
"Add a label to data","添加数据标签"
"Add a row","添加一行"
"Required field","必填项目"
"Please fill in the required fields","请填写必填字段"
"Unable to add the row, contact the platform administrator","无法添加行，联系平台管理员"
"Registered","挂号的"
"Row has been saved","行已保存”"
"Update row","更新行"
"Unable to modify the item, contact the platform administrator","无法修改物品，联系平台管理员"
"Item has been modified","项目已修改"
"Delete","删除"
"Do you want to delete the selected row ?","您要删除选定的行吗？"
"Unable to delete the row, contact platform administrator","无法删除行，联系平台管理员"
"The row has been deleted","该行已被删除"
"Information","信息"
"Row was not deleted","行未删除"
"Save","节省"
"Click to edit","点击编辑"
"Click to delete","点击删除"
"Cancel","取消"
"No","不"
"Yes","是的"
"Edit data","编辑数据"
"Select","选择"
"Missing values character(s):","缺失值字符："
"if several use a comma (',') to separate them","如果多个使用逗号（','）分隔"
"Variable to cut:",“要剪切的变量：”
"Method:",“方法：”
"Number of breaks:",“休息次数：”
"Close intervals on the right",“右边的间隔很近”
"Include lowest value",“包括最低值”
"Create factor variable",“创建因子变量”
"Convert Numeric to Factor",“将数字转换为因子”
"Or click here to open a modal to cut a variable",“或者单击此处打开模态来剪切变量”
"If `var_labels` is an unnamed vector, it must have same length as `colnames(data)`",“如果 `var_labels` 是一个未命名的向量，它的长度必须与 `colnames(data)` 相同”
"`var_labels` must be a named list",“`var_labels` 必须是命名列表”
"The row wasn't added to the data",“该行未添加到数据中”
"New column name:",“新列名称：”
"Group calculation by:",“分组计算依据：”
"Enter an expression to define new column:",“输入表达式来定义新列：”
"Click on a column to add it to the expression:",“单击一列将其添加到表达式中：”
"Create column",“创建专栏”
"Some operations are not allowed",“有些操作是不允许的”
"Column added!",“专栏已添加！”
"Unique values:",“独特的价值观：”
"New column name cannot be empty",“新列名不能为空”
"character",“特点”
"Unique:",“独特的：”
"Missing:",“丢失的：”
"Most Common:",“最常见的：”
"factor",“因素”
"numeric",“数字”
"Min:",“敏：”
"Mean:",平均值
"Max:",“最大限度：”
"date",“日期”
"datetime",“约会时间”
"Value must be equal or inferior to 20",“值必须等于或小于 20”
"You cannot delete September",“你不能删除九月”
"Last row updated:",“更新最后一行：”
"Launch modal window",“启动模态窗口”
"Imported data:",“导入的数据：”
"Import data to be used in application",“导入要在应用程序中使用的数据”
"Filter data with select group module",“使用选择组模块过滤数据”
"Inputs values:",“输入值：”
"Show data in popup",“在弹出窗口中显示数据”
"Show data in modal",“以模式显示数据”
"Show data without classes",“显示没有类的数据”
"Select, rename and convert variables",“选择、重命名和转换变量”
"original data:",“原始数据：”
"Modified data:",“修改后的数据：”
"Filter data.frame",“过滤数据.frame”
"Code dplyr:",“代码 dplyr：”
"Expression:",“表达：”
"Filtered data:",“过滤后的数据：”
"Save Filter Values",“保存过滤器值”
"Load Filter Values",“加载过滤器值”
"Data:",“数据：”
"From",“从”
